Datum,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms),Calisthenics – Dauer (ms),Joggen – Dauer (ms)
2018-01-28,443.5566195601852,,,,,,,,,,,,,,,,,,,,,
2018-01-29,1809.5,,,,,,,,,,,,,,,,,,,,,
2018-01-30,1809.5,,,,,,,,,,,,,,,,,,,,,
2018-01-31,1809.5,,,,,,,,,,,,,,,,,,,,,
2018-02-01,1809.5,,,,,,,,,,,,,,,,,,,,,
2018-02-02,1809.5,,,,,,,,,,,,,,,,,,,,,
2018-02-03,1809.5,,,,,,,,,,,,,,,,,,,,,
2018-02-04,1866.0016876108268,,,,,51.24762725830078,6.817329406738281,51.24762725830078,6.817329406738281,,,,12,85.0,85.0,85.0,,21178940,,,,
2018-02-05,2687.5439252904516,9768.12291944027,107.34479686386315,123.0,75.0,51.210609436035156,6.772070407867432,51.436927795410156,7.076327800750732,2.3984403494689337,50.39558792114258,0.0,9927,,,,1394559,68071915,1903529,2807393,,
2018-02-06,2009.9698114817368,2298.4981503486633,,,,51.226104736328125,6.705351829528809,51.4988899230957,6.820453643798828,4.714240479191367,22.875778198242188,0.04928851127624512,9302,,,,,69794648,2853868,,,
2018-02-07,1836.8832519636026,324.0519027709961,,,,51.23884201049805,6.812425136566162,51.24763488769531,6.818911552429199,1.3575779901269471,2.076188802719116,0.5110466480255127,2045,,,,,86001865,398135,,,
2018-02-08,2067.0205532190375,3681.100920677185,,,,51.23883819580078,6.812628269195557,51.247657775878906,6.818644046783447,1.2184456723709736,2.966165542602539,0.10722599178552628,3918,,,,1072981,82729490,2597529,,,
2018-02-09,2064.4561440666535,2837.388462662697,,,,51.23888397216797,6.637388706207275,51.432464599609375,6.819023609161377,2.0775943376200083,16.042200088500977,0.35394611954689026,3679,,,,945460,79154161,2696521,,,
2018-02-10,3004.6747930191327,13888.274423956871,144.3409049443532,178.0,70.0,51.241355895996094,6.816853046417236,51.273555755615234,6.858767509460449,0.5854138380148303,3.0712406635284424,0.0,15158,,,,,80917328,,5482672,,
2018-02-11,1936.6815653313442,2220.0259416103363,,,,51.24031066894531,6.749374866485596,51.2540397644043,6.819750785827637,1.8833037868011555,4.296418190002441,0.15693524479866028,4410,,,,,78018973,1843080,,,
2018-02-12,3012.688062346036,13946.603611111641,115.09831029185868,163.0,92.0,51.24229049682617,6.801664352416992,51.273563385009766,6.84303617477417,0.8811586844303653,2.686206340789795,0.0,16612,,,,,76402931,3588367,78875,1057146,4998911
2018-02-13,1809.4999263841264,,,,,51.238861083984375,6.812536239624023,51.24763107299805,6.820624828338623,0.965850288097501,2.811845064163208,0.5212668776512146,1996,,,,,86400000,,,,
2018-02-14,1845.1446589480097,272.66223907470703,,,,51.236785888671875,6.7042083740234375,51.50014877319336,6.81990385055542,3.4569848434777923,20.33204460144043,0.5052417516708374,2108,,,,,73085186,518251,,,
2018-02-15,1953.6319755020968,2098.8313847780228,,,,51.238739013671875,6.811820030212402,51.24764633178711,6.818702220916748,1.9773537003217003,4.87622594833374,0.47078850865364075,2091,,,,442997,84334832,1622171,,,
2018-02-16,2023.7304812616653,5313.016092300415,,,,51.23617172241211,6.799153804779053,51.24767303466797,6.818315505981445,3.639677934273688,18.925310134887695,0.026643792167305946,2633,,,,1661103,83403247,1335650,,,
2018-02-17,2406.815269733047,9286.725072860718,,,,51.24540328979492,6.793591022491455,52.8360481262207,8.317839622497559,5.076683575645995,48.007503509521484,0.10113415122032166,14400,,,,,69777087,8684567,,,
